"name1"	"name2"	"D.ij.bMNTD"	"G.ij.bMNTD"	"Ds.ij.bMNTD"	"Gs.ij.bMNTD"	"C.ij.bMNTD"	"E.ij.bMNTD"	"ST.ij.bMNTD"	"MST.ij.bMNTD"	"bNTI.wt"	"RC.bMNTD.wt"	"Plant"
"A8"	"A7"	7.45907885394703e-05	4.90002632555926e-05	0.512338344056705	0.336565871286219	0.487661655943295	0.663434128713781	0.656921105340826	0.482874214921214	2.01291405596934	0.939393939393939	"HS"
"A9"	"A7"	7.46284135023964e-05	6.20144393821416e-05	0.512596776921918	0.425955748729466	0.487403223078082	0.574044251270534	0.830976252498658	0.705556240434006	0.87071064339501	0.676767676767677	"HS"
"A10"	"A7"	4.22640291711382e-05	4.07387443194277e-05	0.290297007749785	0.279820353320444	0.709702992250215	0.720179646679556	0.963910566937804	0.949888290749969	0.124100710685735	0.313131313131313	"HS"
"A11"	"A7"	4.69766232471704e-05	4.48080721988871e-05	0.322666187542651	0.307771159955003	0.677333812457349	0.692228840044997	0.953837655872511	0.933313463038483	0.17086036066508	0.373737373737374	"HS"
"A12"	"A7"	4.92680193742846e-05	4.30393786296603e-05	0.338404995515199	0.29562261517964	0.661595004484801	0.70437738482036	0.873576392480773	0.820517225220867	0.516137366056752	0.535353535353535	"HS"
"A9"	"A8"	7.65120316893607e-05	5.52785896482428e-05	0.525534699172649	0.379689525164147	0.474465300827351	0.620310474835853	0.722482313274259	0.55261486306647	1.50453567803013	0.818181818181818	"HS"
"A10"	"A8"	5.86140998740981e-05	4.73843827399765e-05	0.402599991981302	0.32546694655604	0.597400008018698	0.67453305344396	0.808412700045845	0.715970479169303	0.811152571170842	0.676767676767677	"HS"
"A11"	"A8"	5.98651641390535e-05	4.82849482348016e-05	0.411193119984991	0.331652619658144	0.588806880015009	0.668347380341856	0.806561694588299	0.710572209750027	0.89752040798793	0.676767676767677	"HS"
"A12"	"A8"	4.79838007479206e-05	3.65977122657035e-05	0.329584141662851	0.251377035497518	0.670415858337149	0.748622964502482	0.762709741522287	0.683031018644465	1.14694069803087	0.818181818181818	"HS"
"A10"	"A9"	2.66017917928271e-05	2.76938796332487e-05	0.182718512874634	0.190219686768646	0.817281487125366	0.809780313231354	0.990821798838982	0.951749467592277	-0.282499889000887	-0.151515151515152	"HS"
"A11"	"A9"	4.01608998666229e-05	3.18418443165195e-05	0.275851339506952	0.218710622427653	0.724148660493048	0.781289377572347	0.792856843902116	0.734870123613445	1.25328100004614	0.777777777777778	"HS"
"A12"	"A9"	3.18393515241277e-05	3.56872744165486e-05	0.218693500298351	0.245123552605918	0.781306499701649	0.754876447394082	0.966171979475841	0.8619960417327	-0.358603556173699	-0.0707070707070707	"HS"
"A11"	"A10"	1.84830459595115e-06	2.02287670685747e-06	0.0126953654002588	0.0138944408889553	0.987304634599741	0.986105559111045	0.998785506067048	0.912591377900124	-0.309752555921258	-0.111111111111111	"HS"
"A12"	"A10"	3.76600050813468e-06	3.50489126026424e-06	0.0258673557665025	0.024073886595694	0.974132644233498	0.975926113404306	0.930666698714873	0.928956403222707	0.291729812313767	0.393939393939394	"HS"
"A12"	"A11"	3.33088482159908e-06	3.0322261546011e-06	0.0228786965140965	0.0208273133623155	0.977121303485904	0.979172686637685	0.910336537288431	0.908429367020583	0.330132261261727	0.353535353535353	"HS"
