"name1"	"name2"	"D.ij.bMNTD"	"G.ij.bMNTD"	"Ds.ij.bMNTD"	"Gs.ij.bMNTD"	"C.ij.bMNTD"	"E.ij.bMNTD"	"ST.ij.bMNTD"	"MST.ij.bMNTD"	"bNTI.wt"	"RC.bMNTD.wt"	"Plant"	"sex"
"A41"	"A40"	3.48973511332431e-06	3.18875401118096e-06	1.83079624282291e-05	1.67289455313282e-05	0.999981692037572	0.999983271054469	0.913752450438386	0.913751007583689	0.326278237712505	0.373737373737374	"XS"	"FM"
"A42"	"A40"	6.36875546632355e-05	4.78773995814336e-05	0.000334119731170537	0.000251175978758803	0.999665880268829	0.999748824021241	0.751754402168489	0.751692033171887	1.48575271294148	0.919191919191919	"XS"	"FM"
"XS4"	"A40"	0.00280084249038508	0.0178299028967121	0.0146938714304051	0.093539819422289	0.985306128569595	0.906460180577711	0.919978222294885	0.144516440171281	-1.33022056835951	-1	"XS"	"FM"
"XS5"	"A40"	0.0954830229527021	0.0422978076007606	0.500926156279687	0.221904140917306	0.499073843720313	0.778095859082694	0.442987730098502	0.28413412897716	2.5424475530854	0.939393939393939	"XS"	"FM"
"XS6"	"A40"	0.146364138054941	0.0487634457659917	0.767860325592844	0.255824383216388	0.232139674407156	0.744175616783612	0.333165257651348	0.103928256570988	4.0420520010056	1	"XS"	"FM"
"A42"	"A41"	4.3562820024248e-05	3.59046634745308e-05	0.00022854069044567	0.000188364219215406	0.999771459309554	0.999811635780785	0.824204297484541	0.824171177625699	0.865097965083591	0.616161616161616	"XS"	"FM"
"XS4"	"A41"	0.0030869410352173	0.0135856917506415	0.0161948109686412	0.0712737001678361	0.983805189031359	0.928726299832164	0.944014435161269	0.214498970771893	-1.3753878893139	-1	"XS"	"FM"
"XS5"	"A41"	0.121383746354922	0.0429972345399088	0.636807378066773	0.225573497389184	0.363192621933227	0.774426502610816	0.35422563424749	0.166125689687249	3.41493709472972	1	"XS"	"FM"
"XS6"	"A41"	0.187285374158476	0.0490609940548876	0.982542652122363	0.257385390776214	0.0174573478776368	0.742614609223786	0.261958491288132	0.00615810738856566	5.25078085912716	1	"XS"	"FM"
"XS4"	"A42"	0.00378316587353603	0.012849378551747	0.0198473684744735	0.0674108297942942	0.980152631525527	0.932589170205706	0.951473413639882	0.280136641127273	-1.39097756226627	-1	"XS"	"FM"
"XS5"	"A42"	0.123520697923698	0.0429106087305018	0.648018323242156	0.225119038236143	0.351981676757844	0.774880961763857	0.347396100020491	0.157801091803843	3.43451229244464	1	"XS"	"FM"
"XS6"	"A42"	0.190612971105047	0.04895558435158	1	0.256832386944961	0	0.743167613055039	0.256832386944961	0	5.28692628583549	1	"XS"	"FM"
"XS5"	"XS4"	0.0107980095431478	0.0155764687135439	0.0566488706437349	0.0817177793475539	0.943351129356265	0.918282220652446	0.973425686445167	0.674803772606087	-1.01911682609363	-0.777777777777778	"XS"	"FM"
"XS6"	"XS4"	0.0213510845679847	0.0182730065073217	0.11201275781079	0.0958644440689791	0.88798724218921	0.904135555931021	0.855835048994254	0.84054940649105	0.589461157306463	0.454545454545455	"XS"	"FM"
"XS6"	"XS5"	0.00376041421871629	0.00429395410519402	0.0197280079992244	0.0225270823926648	0.980271992000776	0.977472917607335	0.99714459413685	0.873245642139639	-0.657099985013108	-0.474747474747475	"XS"	"FM"
