"name1"	"name2"	"D.ij.bMNTD"	"G.ij.bMNTD"	"Ds.ij.bMNTD"	"Gs.ij.bMNTD"	"C.ij.bMNTD"	"E.ij.bMNTD"	"ST.ij.bMNTD"	"MST.ij.bMNTD"	"bNTI.wt"	"RC.bMNTD.wt"	"Plant"	"sex"
"A38"	"A37"	8.68337837912064e-06	4.70214420108537e-06	6.28121885848396e-05	3.40134859286869e-05	0.999937187811415	0.999965986514071	0.541510918422232	0.541495323079855	3.31562349755885	1	"XS"	"F"
"A39"	"A37"	2.99309437178732e-05	2.12593381734077e-05	0.000216508828620187	0.000153781800151405	0.99978349117138	0.999846218199849	0.710279581352214	0.710235020772087	1.43878903263436	0.818181818181818	"XS"	"F"
"XS1"	"A37"	0.00586395462535588	0.0108623458875935	0.0424175715602175	0.0785739937356473	0.957582428439782	0.921426006264353	0.962241974057168	0.519458994666038	-1.40787946848103	-1	"XS"	"F"
"XS2"	"A37"	0.0463791908485019	0.0281189427926855	0.335489063679772	0.203401517288176	0.664510936320228	0.796598482711824	0.606283599999326	0.505753012910139	1.24979449930213	0.797979797979798	"XS"	"F"
"XS3"	"A37"	0.0529079985569496	0.0395670888730137	0.382715924368377	0.286212962229169	0.617284075631623	0.713787037770831	0.747847016560722	0.646739195171214	0.752796986937522	0.656565656565657	"XS"	"F"
"A39"	"A38"	1.37433298770561e-05	1.56328422091606e-05	9.94139136095933e-05	0.000113081912371792	0.99990058608639	0.999886918087628	0.999986330642313	0.879119857456947	-0.469690449231462	-0.252525252525253	"XS"	"F"
"XS1"	"A38"	0.00545088351750465	0.0116020874423897	0.0394295755070123	0.0839249969990341	0.960570424492988	0.916075003000966	0.95367812670736	0.448056300875729	-1.81152771552519	-1	"XS"	"F"
"XS2"	"A38"	0.0482570422660706	0.0357020810656019	0.349072711912614	0.258254996022748	0.650927288087386	0.741745003977252	0.73983152280147	0.649248089567841	0.697871809035532	0.616161616161616	"XS"	"F"
"XS3"	"A38"	0.0513234196125814	0.040614834087361	0.371253695367676	0.293791944408581	0.628746304632324	0.706208055591419	0.791350895827773	0.704550093247673	0.616837574582268	0.616161616161616	"XS"	"F"
"XS1"	"A39"	0.0141971478903226	0.011227919692905	0.102696656959927	0.0812184127392132	0.897303343040073	0.918781587260787	0.79085741584466	0.772369639253582	0.714180331890554	0.616161616161616	"XS"	"F"
"XS2"	"A39"	0.0558253777244067	0.0375294264033192	0.403819112832491	0.271473302878789	0.596180887167509	0.728526697121211	0.672264621093848	0.550139507308099	0.884296610953722	0.676767676767677	"XS"	"F"
"XS3"	"A39"	0.0571561119296343	0.0405857493097067	0.413445127524658	0.29358155641681	0.586554872475342	0.70641844358319	0.710085902268376	0.589600044612251	0.77882156666211	0.676767676767677	"XS"	"F"
"XS2"	"XS1"	0.00417526133306484	0.00865714179794171	0.0302022197805016	0.0626224033407927	0.969797780219498	0.937377596659207	0.966570161097963	0.46616806256842	-2.57756910067225	-1	"XS"	"F"
"XS3"	"XS1"	0.00213813252183647	0.00479259436456671	0.0154664207083155	0.0346677673014508	0.984533579291684	0.965332232698549	0.980497011989221	0.437431668408509	-2.86835946740397	-1	"XS"	"F"
"XS3"	"XS2"	0.00709593997092171	0.00767571623256403	0.0513292753327389	0.0555231517588608	0.948670724667261	0.944476848241139	0.995579207498373	0.920379294734087	-0.587463093466537	-0.414141414141414	"XS"	"F"
