"name1"	"name2"	"D.ij.bMNTD"	"G.ij.bMNTD"	"Ds.ij.bMNTD"	"Gs.ij.bMNTD"	"C.ij.bMNTD"	"E.ij.bMNTD"	"ST.ij.bMNTD"	"MST.ij.bMNTD"	"bNTI.wt"	"RC.bMNTD.wt"	"Plant"	"sex"
"A5"	"A4"	1.59555977131029e-05	1.95249864407662e-05	8.01909989564326e-05	9.81303361647208e-05	0.999919809001043	0.999901869663835	0.999982059224103	0.817174009605815	-0.364005026898071	-0.0909090909090908	"PG"	"FM"
"A6"	"A4"	1.13875826899931e-05	1.14528216180723e-05	5.72326808452691e-05	5.75605641942724e-05	0.999942767319155	0.999942439435806	0.999999672097884	0.994303354730615	-0.0132051419792331	0.151515151515151	"PG"	"FM"
"PG4"	"A4"	0.0537033347401823	0.0347726397558698	0.269906783659401	0.174763288001768	0.730093216340599	0.825236711998231	0.647494981905696	0.572843751411947	0.964064364912557	0.757575757575758	"PG"	"FM"
"PG5"	"A4"	0.0604008469210751	0.035600569187368	0.303567709559257	0.178924366099316	0.696432290440743	0.821075633900684	0.589405132578467	0.499930517398355	1.26083011568466	0.838383838383838	"PG"	"FM"
"PG6"	"A4"	0.00463977306680703	0.0185408041084723	0.0233189657854597	0.0931839489593636	0.97668103421454	0.906816051040636	0.928466939843784	0.232345688768667	-1.86222837326291	-1	"PG"	"FM"
"A6"	"A5"	1.23761296732475e-05	1.30058667272161e-05	6.22010042843491e-05	6.53659902877349e-05	0.999937798995716	0.999934634009712	0.999996834817119	0.951577527288934	-0.161660863517527	0.0303030303030303	"PG"	"FM"
"PG4"	"A5"	0.0723750672034892	0.0358859652438224	0.363748763471303	0.180358733853932	0.636251236528697	0.819641266146068	0.49583325626387	0.384893410617661	1.36806676552458	0.838383838383838	"PG"	"FM"
"PG5"	"A5"	0.0817242895700737	0.0359423868385319	0.410736879775248	0.180642302299554	0.589263120224752	0.819357697700446	0.439800541890468	0.316294385612352	1.70803082821978	0.858585858585859	"PG"	"FM"
"PG6"	"A5"	0.0041171570655874	0.00949528461651928	0.0206923578725514	0.0477222083726157	0.979307642127449	0.952277791627384	0.972399020147188	0.421632384710638	-1.91986166072247	-1	"PG"	"FM"
"PG4"	"A6"	0.0617667061136101	0.0350316996081008	0.310432360765226	0.176065293023044	0.689567639234774	0.823934706976956	0.567161531062795	0.47466896918895	1.21581544682095	0.777777777777778	"PG"	"FM"
"PG5"	"A6"	0.0696759753318763	0.0355289941927146	0.350183438163428	0.17856463840846	0.649816561836572	0.82143536159154	0.509917428833756	0.403382671258876	1.56475196658091	0.838383838383838	"PG"	"FM"
"PG6"	"A6"	0.00541889163185879	0.0164397116318279	0.0272347260822799	0.0826240998310796	0.97276527391772	0.91737590016892	0.943059877614952	0.310853340593617	-1.60335174415669	-1	"PG"	"FM"
"PG5"	"PG4"	0.00301385641279074	0.00498457618855051	0.0151472956888645	0.0250519066174537	0.984852704311135	0.974948093382546	0.989943053529495	0.598555645920445	-1.87266812314859	-1	"PG"	"FM"
"PG6"	"PG4"	0.00266795375760955	0.00679522437180297	0.0134088287282765	0.0341520161329015	0.986591171271724	0.965847983867099	0.978974890503138	0.384366960502621	-2.2601824649471	-1	"PG"	"FM"
"PG6"	"PG5"	0.00224992905021626	0.00406997848790922	0.0113078846284632	0.0204552437674339	0.988692115371537	0.979544756232566	0.990748020544765	0.547696445937	-2.39759059195635	-1	"PG"	"FM"
