"name1"	"name2"	"D.ij.bMNTD"	"G.ij.bMNTD"	"Ds.ij.bMNTD"	"Gs.ij.bMNTD"	"C.ij.bMNTD"	"E.ij.bMNTD"	"ST.ij.bMNTD"	"MST.ij.bMNTD"	"bNTI.wt"	"RC.bMNTD.wt"	"Plant"	"sex"
"A32"	"A31"	2.43341141474029e-05	1.69043771945533e-05	0.000179287585035989	0.000124547166393249	0.999820712414964	0.999875452833607	0.694678141647388	0.694640109938351	2.11563226284462	0.97979797979798	"SHT"	"F"
"A33"	"A31"	1.4497564002128e-05	1.39838908372774e-05	0.000106814376849778	0.000103029763172617	0.99989318562315	0.999896970236827	0.964568311974674	0.964564661080097	0.134330832716603	0.171717171717172	"SHT"	"F"
"SHT1"	"A31"	0.010344552963616	0.0190191461051435	0.0762160441875599	0.140128247693033	0.92378395581244	0.859871752306967	0.930814772108416	0.506272082677131	-1.12919558087829	-0.838383838383838	"SHT"	"F"
"SHT2"	"A31"	0.0077642916121695	0.00931535329955068	0.0572053325725694	0.0686331619354106	0.942794667427431	0.931366838064589	0.987878771743561	0.823391085087325	-0.792250083629001	-0.474747474747475	"SHT"	"F"
"SHT3"	"A31"	0.0331432168613314	0.0388616981025422	0.244190820976582	0.286323141290354	0.755809179023418	0.713676858709646	0.94425534713906	0.805308601289721	-0.233440075468459	0.0909090909090909	"SHT"	"F"
"A33"	"A32"	3.80495735421804e-05	3.20304689592424e-05	0.00028033961337996	0.000235992376483762	0.99971966038662	0.999764007623516	0.841808881871818	0.84177154116179	0.891114431041254	0.656565656565657	"SHT"	"F"
"SHT1"	"A32"	0.0202989562147325	0.0282163918237062	0.149557564185219	0.207891222908618	0.850442435814781	0.792108777091382	0.93140786928452	0.670057591870384	-0.785930204168802	-0.595959595959596	"SHT"	"F"
"SHT2"	"A32"	0.01364604729257	0.0183394280172174	0.100540617568891	0.135120257110291	0.899459382431109	0.864879742889709	0.961555084957882	0.715476303373684	-0.812937874926002	-0.595959595959596	"SHT"	"F"
"SHT3"	"A32"	0.0345688734934198	0.0382692310682134	0.254694697678621	0.28195799435487	0.745305302321379	0.71804200564513	0.963419961469034	0.87026422636229	-0.186214934069184	0.0101010101010101	"SHT"	"F"
"SHT1"	"A33"	0.0177602582541809	0.0233223935628037	0.130853081099211	0.171833484210898	0.869146918900789	0.828166515789102	0.952849855161985	0.725605605598115	-0.573402055080132	-0.333333333333333	"SHT"	"F"
"SHT2"	"A33"	0.0108352023749627	0.0112093633912993	0.0798310246847676	0.0825877482140174	0.920168975315232	0.917412251785983	0.997004111632534	0.963724784459527	-0.124524585758998	0.0505050505050505	"SHT"	"F"
"SHT3"	"A33"	0.0342911869331468	0.0378196487570837	0.252648773488132	0.278645585842727	0.747351226511868	0.721354414157273	0.965214732467985	0.875163041155626	-0.156872529286944	0.131313131313131	"SHT"	"F"
"SHT2"	"SHT1"	0.00223074753390502	0.00432767342905264	0.016435582399103	0.0318852008838	0.983564417600897	0.9681147991162	0.984292214919302	0.507364399617788	-2.34701563713644	-1	"SHT"	"F"
"SHT3"	"SHT1"	0.00484637686759588	0.0053479360847652	0.0357068763424978	0.0394022375236825	0.964293123657502	0.960597762476318	0.996167803035691	0.902741640953612	-0.47733603735494	-0.313131313131313	"SHT"	"F"
"SHT3"	"SHT2"	0.00455284060415945	0.00620928947399994	0.033544175556547	0.0457484709671112	0.966455824443453	0.954251529032889	0.987372112514721	0.723971376128463	-1.26582220798103	-0.878787878787879	"SHT"	"F"
