"name1"	"name2"	"D.ij.bMNTD"	"G.ij.bMNTD"	"Ds.ij.bMNTD"	"Gs.ij.bMNTD"	"C.ij.bMNTD"	"E.ij.bMNTD"	"ST.ij.bMNTD"	"MST.ij.bMNTD"	"bNTI.wt"	"RC.bMNTD.wt"	"Plant"
"A20"	"A19"	1.22636465019544e-05	1.56034081745171e-05	0.024745795117414	0.0314848231933668	0.975254204882586	0.968515176806633	0.993089977933739	0.780528477996438	-0.670029135073545	-0.555555555555556	"YJ"
"A21"	"A19"	2.62850733560574e-05	2.51193689276611e-05	0.0530384694154008	0.0506862911340095	0.946961530584599	0.949313708865991	0.955651467560858	0.953283585789445	0.171943680571508	0.232323232323232	"YJ"
"A22"	"A19"	8.809083699917e-05	8.45970587767601e-05	0.177751193640128	0.170701388342523	0.822248806359872	0.829298611657477	0.960338914449834	0.95217514536664	0.249538955540778	0.171717171717172	"YJ"
"A23"	"A19"	1.33073474475237e-05	1.81966959482016e-05	0.0268517926898974	0.036717603502051	0.973148207310103	0.963282396497949	0.9898619647675	0.723891695929084	-0.75984047593324	-0.595959595959596	"YJ"
"A24"	"A19"	9.91359872749401e-05	0.000117946999454435	0.200038286285998	0.237995467559184	0.799961713714002	0.762004532440816	0.952551252613127	0.800631718437775	-0.426414950471508	-0.232323232323232	"YJ"
"A21"	"A20"	1.81281217586227e-05	2.38696865324652e-05	0.0365792333325103	0.0481646606786283	0.96342076666749	0.951835339321372	0.987974696262577	0.750329316806348	-1.11689749588215	-0.858585858585859	"YJ"
"A22"	"A20"	0.000145884152638085	0.000125261863091919	0.294367531833561	0.252755524191293	0.705632468166439	0.747244475808707	0.858639275252013	0.810823994924821	0.97943151773001	0.616161616161616	"YJ"
"A23"	"A20"	9.2255481523887e-06	1.0504034663553e-05	0.018615468440685	0.0211952203326371	0.981384531559315	0.978804779667363	0.997371313884627	0.875977410278413	-0.531549052247016	-0.313131313131313	"YJ"
"A24"	"A20"	0.000158965951981763	0.000129807032115613	0.32076420971189	0.261926843783423	0.67923579028811	0.738073156216577	0.816571287734021	0.75147624497516	0.665848101757552	0.636363636363636	"YJ"
"A22"	"A21"	6.7504753303995e-05	7.37801499662319e-05	0.136212242781625	0.148874845218793	0.863787757218375	0.851125154781207	0.985340609042729	0.901532116216633	-0.46020946062077	-0.353535353535354	"YJ"
"A23"	"A21"	3.15055176452026e-05	3.38853750439928e-05	0.0635723709576929	0.0683744878150026	0.936427629042307	0.931625512184997	0.994871876151048	0.924999455018556	-0.295320511148265	-0.191919191919192	"YJ"
"A24"	"A21"	0.000158822305615481	0.000213663773992758	0.320474357623541	0.431134408056825	0.679525642376459	0.568865591943175	0.837151030759811	0.622277957414327	-0.955901049474699	-0.757575757575758	"YJ"
"A23"	"A22"	8.03934649856398e-05	7.49896056436078e-05	0.162219305081617	0.151315305516729	0.837780694918383	0.848684694483271	0.93278235559324	0.920797859506956	0.441729507458819	0.393939393939394	"YJ"
"A24"	"A22"	0.000248106695542888	0.000220834962228775	0.500633922723106	0.445604554012892	0.499366077276894	0.554395445987108	0.890080623360694	0.801731097477554	0.535877417822823	0.595959595959596	"YJ"
"A24"	"A23"	0.000139827192561411	0.000119651554019801	0.282145694465056	0.241434946839208	0.717854305534944	0.758565053160792	0.855710193618107	0.809785850559994	0.448711221189756	0.494949494949495	"YJ"
