"name1"	"name2"	"D.ij.bMNTD"	"G.ij.bMNTD"	"Ds.ij.bMNTD"	"Gs.ij.bMNTD"	"C.ij.bMNTD"	"E.ij.bMNTD"	"ST.ij.bMNTD"	"MST.ij.bMNTD"	"bNTI.wt"	"RC.bMNTD.wt"	"Plant"
"A32"	"A31"	2.43341141474029e-05	1.65859996863198e-05	0.094334006689813	0.0642975452440503	0.905665993310187	0.93570245475595	0.681594554289124	0.65971506851083	2.1007118757013	0.939393939393939	"SHT"
"A33"	"A31"	1.4497564002128e-05	1.35881558155354e-05	0.0562014828761988	0.0526760569067906	0.943798517123801	0.947323943093209	0.937271655675455	0.933783638868322	0.215674196108037	0.191919191919192	"SHT"
"A34"	"A31"	0.000130270764735884	0.000106138218655283	0.505009679729538	0.411457074953388	0.494990320270462	0.588542925046612	0.81475086808979	0.685241086033718	1.38772588946779	0.797979797979798	"SHT"
"A35"	"A31"	4.83637009141758e-05	3.51218619815768e-05	0.187487477783073	0.136153958309691	0.812512522216927	0.863846041690309	0.726202943895931	0.683048780812465	1.759127616935	0.858585858585859	"SHT"
"A36"	"A31"	7.69226614899864e-05	6.59838162906674e-05	0.298199590075032	0.255793892051235	0.701800409924968	0.744206107948765	0.857794244408158	0.808916167076619	1.18513806762562	0.737373737373737	"SHT"
"A33"	"A32"	3.80495735421804e-05	3.28464495844379e-05	0.147503570638738	0.127333059098256	0.852496429361261	0.872666940901744	0.86325407952406	0.843301133494712	0.68133870148603	0.555555555555556	"SHT"
"A34"	"A32"	0.0001482279491769	0.00012307299511851	0.574622781193916	0.477106693694207	0.425377218806084	0.522893306305793	0.83029547262798	0.67545094701829	1.61951973925702	0.858585858585859	"SHT"
"A35"	"A32"	3.61858372497461e-05	2.39761032094092e-05	0.14027858143989	0.0929461359000587	0.85972141856011	0.907053864099941	0.66258251934125	0.628007228662693	2.51356432876043	0.97979797979798	"SHT"
"A36"	"A32"	8.45359874188439e-05	6.72891901932252e-05	0.327713528193105	0.260854324895047	0.672286471806895	0.739145675104953	0.795982779024425	0.723982392311764	1.68922433632583	0.878787878787879	"SHT"
"A34"	"A33"	0.000179475519324621	0.00017200261818685	0.695757599313857	0.666788034132543	0.304242400686143	0.333211965867457	0.958362560164799	0.875042183053645	0.2970991333036	0.313131313131313	"SHT"
"A35"	"A33"	6.85280937001189e-05	6.31057390184126e-05	0.265657077565615	0.244636692779049	0.734342922434385	0.755363307220951	0.920873989207482	0.895247743653806	0.487201930781104	0.494949494949495	"SHT"
"A36"	"A33"	0.000114058974135655	0.000102730042398185	0.442162799268958	0.398244885683232	0.557837200731042	0.601755114316768	0.900674788430105	0.834940810295116	0.863754464094821	0.636363636363636	"SHT"
"A35"	"A34"	8.42501329579309e-05	6.71058856968755e-05	0.326605380328558	0.260143723823639	0.673394619671442	0.739856276176362	0.7965077720457	0.724957083548761	1.61602229442452	0.838383838383838	"SHT"
"A36"	"A34"	4.93599957975566e-05	4.27953284270254e-05	0.191349730077303	0.165901038093002	0.808650269922697	0.834098961906998	0.867004296405225	0.840551649542031	0.671901067018446	0.575757575757576	"SHT"
"A36"	"A35"	7.33280252947647e-05	4.5459812203548e-05	0.284264567298636	0.176230217486048	0.715735432701364	0.823769782513952	0.619951403584213	0.538647077760041	2.70646333966193	0.95959595959596	"SHT"
