"name1"	"name2"	"D.ij.bMNTD"	"G.ij.bMNTD"	"Ds.ij.bMNTD"	"Gs.ij.bMNTD"	"C.ij.bMNTD"	"E.ij.bMNTD"	"ST.ij.bMNTD"	"MST.ij.bMNTD"	"bNTI.wt"	"RC.bMNTD.wt"	"Plant"
"A38"	"A37"	8.68337837912064e-06	4.71377717296954e-06	0.0786136447313301	0.042675464299646	0.92138635526867	0.957324535700354	0.542850601132839	0.522471866311541	3.24587235684676	0.97979797979798	"XS"
"A39"	"A37"	2.99309437178732e-05	2.22791071029403e-05	0.270975244101779	0.201700505753979	0.729024755898221	0.798299494246021	0.744350305588138	0.679757163502504	1.20995048303133	0.797979797979798	"XS"
"A40"	"A37"	1.7854014335665e-05	1.22648404394968e-05	0.161638601789709	0.111037866473198	0.838361398210292	0.888962133526802	0.686951416578434	0.647849360940044	2.07857717753634	0.919191919191919	"XS"
"A41"	"A37"	1.92100705418905e-05	1.5131357172508e-05	0.173915450290087	0.13698943949312	0.826084549709914	0.863010560506881	0.78767837627206	0.753975636632726	1.17734920076002	0.676767676767677	"XS"
"A42"	"A37"	2.68406606967568e-05	3.17632197545179e-05	0.242997837044928	0.287563476366408	0.757002162955072	0.712436523633592	0.941128782053263	0.795275746799902	-0.703302974562923	-0.555555555555556	"XS"
"A39"	"A38"	1.37433298770561e-05	1.6444714130245e-05	0.124423145601744	0.148879716845217	0.875576854398256	0.851120283154783	0.972068047344307	0.812385775258207	-0.726579806254043	-0.515151515151515	"XS"
"A40"	"A38"	2.53321380686291e-05	1.93326899169916e-05	0.22934065699598	0.175025566142524	0.77065934300402	0.824974433857476	0.76316850415926	0.712922623876542	1.48587508293583	0.878787878787879	"XS"
"A41"	"A38"	3.35147142144122e-05	2.68149729780616e-05	0.303420364919152	0.242765277192842	0.696579635080848	0.757234722807158	0.800095528385275	0.736007256939228	1.13718813676732	0.696969696969697	"XS"
"A42"	"A38"	6.73309378043895e-05	6.01933925089221e-05	0.60957039908672	0.544951718935587	0.39042960091328	0.455048281064413	0.893993080622113	0.767042479250939	0.667985246912342	0.474747474747475	"XS"
"A40"	"A39"	4.55456451115047e-05	3.52633783865612e-05	0.41234056694621	0.319251629892503	0.58765943305379	0.680748370107497	0.774242593341899	0.668368788569481	0.718972932768728	0.636363636363636	"XS"
"A41"	"A39"	4.99921992154294e-05	3.94771818075327e-05	0.452596767855881	0.357400657913721	0.547403232144119	0.642599342086279	0.789666836568146	0.672683817650698	0.741162758907387	0.636363636363636	"XS"
"A42"	"A39"	6.2012195280055e-05	5.42129623404002e-05	0.561417973041248	0.49080880449814	0.438582026958752	0.50919119550186	0.874230658914227	0.753001736485614	0.663461125948907	0.595959595959596	"XS"
"A41"	"A40"	3.48973511332431e-06	3.0691436717105e-06	0.0315937857856088	0.0277860251739592	0.968406214214391	0.972213974826041	0.879477545442368	0.876032995124147	0.449409179193771	0.434343434343434	"XS"
"A42"	"A40"	6.36875546632355e-05	4.84640015250945e-05	0.57658558426309	0.438761462625362	0.42341441573691	0.561238537374638	0.760965023407799	0.574093793148348	1.58767350823087	0.898989898989899	"XS"
"A42"	"A41"	4.3562820024248e-05	3.67428113778744e-05	0.394389361762203	0.332645451341371	0.605610638237797	0.667354548658629	0.843444280177971	0.765408477192966	0.845110163747172	0.717171717171717	"XS"
