"name1"	"name2"	"D.ij.bMNTD"	"G.ij.bMNTD"	"Ds.ij.bMNTD"	"Gs.ij.bMNTD"	"C.ij.bMNTD"	"E.ij.bMNTD"	"ST.ij.bMNTD"	"MST.ij.bMNTD"	"bNTI.wt"	"RC.bMNTD.wt"	"Plant"	"sex"
"A35"	"A34"	8.42501329579309e-05	6.65306601094976e-05	0.00042822271178999	0.000338158987873564	0.99957177728821	0.999661841012126	0.789680179409554	0.78960903381337	1.70143056155736	0.858585858585859	"SHT"	"FM"
"A36"	"A34"	4.93599957975566e-05	4.02775847455377e-05	0.000250884722816125	0.000204721060472364	0.999749115277184	0.999795278939528	0.815996518936729	0.815958841835659	0.901042770442008	0.636363636363636	"SHT"	"FM"
"SHT4"	"A34"	0.026684846906169	0.0417702281049856	0.135632515993373	0.212307799681871	0.864367484006627	0.787692200318129	0.911293188247801	0.582178271899948	-0.567772833803845	-0.333333333333333	"SHT"	"FM"
"SHT5"	"A34"	0.0294966482913707	0.0361310210080354	0.149924211114937	0.183645096483442	0.850075788885063	0.816354903516558	0.960331907096504	0.783995904801779	-0.300155096591579	-0.0909090909090908	"SHT"	"FM"
"SHT6"	"A34"	0.032314277366918	0.0417291935129109	0.16424552695371	0.212099230939265	0.83575447304629	0.787900769060735	0.942741911017084	0.730041034428304	-0.406834799654732	-0.212121212121212	"SHT"	"FM"
"A36"	"A35"	7.33280252947647e-05	4.52580965059035e-05	0.000372708323886072	0.000230035777224096	0.999627291676114	0.999769964222776	0.617200535865715	0.617112458032409	2.79217102748078	0.95959595959596	"SHT"	"FM"
"SHT4"	"A35"	0.0489920380958366	0.0406138649150003	0.249014484285662	0.206430289894712	0.750985515714338	0.793569710105288	0.828989086666546	0.784504233017204	0.403997735307515	0.434343434343434	"SHT"	"FM"
"SHT5"	"A35"	0.053142106558441	0.0346699735005186	0.270108261930594	0.176218951221033	0.729891738069406	0.823781048778967	0.652401188921476	0.578044661753575	1.02555513263955	0.696969696969697	"SHT"	"FM"
"SHT6"	"A35"	0.0605019866644896	0.0410898736878546	0.307516722983529	0.208849725453933	0.692483277016471	0.791150274546067	0.679149164402091	0.594450200017941	0.985962507985573	0.737373737373737	"SHT"	"FM"
"SHT4"	"A36"	0.0527624044953183	0.0428410932183593	0.268178329698632	0.217750743766471	0.731821670301368	0.782249256233529	0.811962487838487	0.75961944269925	0.431614211995167	0.454545454545455	"SHT"	"FM"
"SHT5"	"A36"	0.0572951430335695	0.0405859977143692	0.291217125253461	0.206288647765433	0.708782874746539	0.793711352234567	0.708367159334773	0.632570657022629	0.807693291011521	0.636363636363636	"SHT"	"FM"
"SHT6"	"A36"	0.0621841152222368	0.0421535395031544	0.316066568868491	0.214256077276469	0.683933431131509	0.785743922723531	0.677882757558002	0.590048063845685	0.924129785860844	0.656565656565657	"SHT"	"FM"
"SHT5"	"SHT4"	0.00492501940007303	0.00710960204595274	0.0250326627279115	0.036136359207715	0.974967337272089	0.963863640792285	0.988611211826982	0.684838527657018	-1.86334559431761	-0.919191919191919	"SHT"	"FM"
"SHT6"	"SHT4"	0.00516075894477628	0.00712862636499976	0.0262308688738812	0.0362330551440448	0.973769131126119	0.963766944855955	0.989728380218218	0.716512456900282	-1.80509292581659	-0.939393939393939	"SHT"	"FM"
"SHT6"	"SHT5"	0.00610854355135159	0.0079019099355359	0.0310482250034335	0.0401634654108509	0.968951774996566	0.959836534589149	0.990592678972646	0.765774169855059	-1.61799782446414	-0.878787878787879	"SHT"	"FM"
