"name1"	"name2"	"D.ij.bMNTD"	"G.ij.bMNTD"	"Ds.ij.bMNTD"	"Gs.ij.bMNTD"	"C.ij.bMNTD"	"E.ij.bMNTD"	"ST.ij.bMNTD"	"MST.ij.bMNTD"	"bNTI.wt"	"RC.bMNTD.wt"	"Plant"
"A26"	"A25"	4.2069726240375e-05	3.01392292567634e-05	0.405905310466716	0.290795170351102	0.594094689533284	0.709204829648898	0.716411347308417	0.600131526413917	1.19676089059571	0.777777777777778	"SJ"
"A27"	"A25"	4.16100114885648e-05	2.34137000083653e-05	0.401469801236315	0.225904611709814	0.598530198763685	0.774095388290186	0.562693908767601	0.435074671871749	2.8459419761737	1	"SJ"
"A28"	"A25"	5.53887010912966e-05	4.55473985221311e-05	0.534412032641991	0.439459264185411	0.465587967358009	0.560540735814589	0.822322921908852	0.683025573809647	0.933443281070302	0.656565656565657	"SJ"
"A29"	"A25"	5.74544149003561e-05	4.77414111797542e-05	0.554342854159839	0.460627963593436	0.445657145840161	0.539372036406564	0.83094417134963	0.686569163324328	0.90232427500158	0.676767676767677	"SJ"
"A30"	"A25"	4.5129916320541e-05	4.2818064405356e-05	0.435431231255448	0.413125572216344	0.564568768744552	0.586874427783656	0.948773405676962	0.912712853213768	0.218670031510365	0.232323232323232	"SJ"
"A27"	"A26"	2.41684620462447e-05	2.16670071859425e-05	0.233186853518649	0.20905183048836	0.766813146481351	0.79094816951164	0.896499212257869	0.869143400627583	0.523539108338573	0.353535353535353	"SJ"
"A28"	"A26"	1.21537856869984e-05	1.3132950675278e-05	0.117264517587767	0.126711887563385	0.882735482412233	0.873288112436615	0.989297620675901	0.915537685296137	-0.296254648151852	-0.212121212121212	"SJ"
"A29"	"A26"	2.22833245999382e-05	2.32060862297042e-05	0.214998303965381	0.22390147209338	0.785001696034619	0.77609852790662	0.988658409054435	0.949345616893334	-0.146281643528849	0.0505050505050505	"SJ"
"A30"	"A26"	2.00782365806302e-05	1.68279795575075e-05	0.193722745099855	0.162362983485788	0.806277254900145	0.837637016514212	0.838120394185499	0.806742535701019	0.771436301544653	0.555555555555556	"SJ"
"A28"	"A27"	3.04878697468085e-05	2.6338447846434e-05	0.294158991297891	0.254123732330303	0.705841008702109	0.745876267669697	0.863899251248641	0.817529053208019	0.779323596201297	0.535353535353535	"SJ"
"A29"	"A27"	4.03108215053575e-05	3.51840836064044e-05	0.388934703896344	0.33946991473499	0.611065296103656	0.66053008526501	0.87281981097131	0.807457386323798	0.38010598233828	0.515151515151515	"SJ"
"A30"	"A27"	1.6993964928622e-05	1.29726661586555e-05	0.163964475808562	0.125165399333086	0.836035524191438	0.874834600666914	0.763369008535871	0.729513451704199	1.15839568030349	0.777777777777778	"SJ"
"A29"	"A28"	2.79098761595896e-05	3.01804331046759e-05	0.269285492444527	0.291192721325972	0.730714507555473	0.708807278674028	0.970019441717761	0.897042212642815	-0.298476983126145	-0.191919191919192	"SJ"
"A30"	"A28"	1.42334243127441e-05	1.46011800365363e-05	0.137329691228753	0.140877943489509	0.862670308771247	0.859122056510491	0.995886896506488	0.970803779558167	-0.0920610172785304	0.0505050505050505	"SJ"
"A30"	"A29"	2.06860420002615e-05	2.82282021887091e-05	0.199587091498241	0.272356827516714	0.800412908501759	0.727643172483286	0.909084754574129	0.666190687214213	-0.657785288652361	-0.535353535353535	"SJ"
