"compare"	"Letters"	"type"	"Mean"	"std"
"HS"	"a"	"Plant"	4797.43238481795	186.706067139934
"LS"	"a"	"Plant"	4436.42025041821	455.72229285257
"PG"	"a"	"Plant"	4670.46057886743	350.613482452553
"SHT"	"a"	"Plant"	4379.27777101654	835.897933085083
"SJ"	"a"	"Plant"	4518.32882182388	327.325784051106
"XS"	"a"	"Plant"	4882.78051148173	132.957655614364
"YJ"	"a"	"Plant"	4847.83649885543	116.325737899666
"YS"	"a"	"Plant"	4594.34665575693	405.677298285002
