"compare"	"Letters"	"type"	"Mean"	"std"
"HS"	"a"	"Plant"	0.555652984195509	0.0310656450561238
"LS"	"a"	"Plant"	0.484764838115006	0.056581511900172
"PG"	"a"	"Plant"	0.478915376083824	0.103585600107577
"SHT"	"a"	"Plant"	0.454419974145446	0.0823243847403376
"SJ"	"a"	"Plant"	0.507453271994546	0.0450156845975677
"XS"	"a"	"Plant"	0.52370142053767	0.0384193407488039
"YJ"	"a"	"Plant"	0.537675058405438	0.0164860224135057
"YS"	"a"	"Plant"	0.478246965101566	0.0356819581055426
